TextTranslate,Year,Full-time Enrolments to Third Level Courses (Number),Part-time Enrolments to Third Level Courses (Number)
"Mary Immaculate College of Education, Limerick"," ""2002"""," ""None"""," ""None"""
Institutes of Technology/Other Technology Colleges," ""2002"""," ""49890"""," ""18042"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2002"""," ""252"""," ""131"""
"National College of Art & Design, Dublin"," ""2002"""," ""808"""," ""24"""
Dublin Institute of Technology," ""2002"""," ""9873"""," ""5443"""
Athlone Institute of Technology," ""2002"""," ""3282"""," ""841"""
"Institute of Technology, Carlow"," ""2002"""," ""2539"""," ""1015"""
Cork Institute of Technology," ""2002"""," ""5929"""," ""3482"""
Dundalk Institute of Technology," ""2002"""," ""2585"""," ""499"""
Galway - Mayo Institute of Technology," ""2002"""," ""4436"""," ""851"""
Letterkenny Institute of Technology," ""2002"""," ""1919"""," ""308"""
Limerick Institute of Technology," ""2002"""," ""3464"""," ""1136"""
"Institute of Technology, Sligo"," ""2002"""," ""3310"""," ""441"""
"Institute of Technology, Tallaght"," ""2002"""," ""2364"""," ""1563"""
"Institute of Technology, Tralee"," ""2002"""," ""2396"""," ""515"""
Waterford Institute of Technology," ""2002"""," ""5542"""," ""1252"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2002"""," ""1120"""," ""55"""
"Institute of Technology, Blanchardstown"," ""2002"""," ""626"""," ""324"""
Tipperary Institute," ""2002"""," ""269"""," ""258"""
"Tourism College, Killybegs, Co. Donegal"," ""2002"""," ""236"""," ""59"""
Other colleges," ""2002"""," ""2531"""," ""3097"""
"Colaiste Mhuire, Marino, Dublin"," ""2002"""," ""348"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2002"""," ""85"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2002"""," ""211"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2002"""," ""279"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2002"""," ""100"""," ""None"""
National College of Ireland," ""2002"""," ""900"""," ""2929"""
"Pontifical College, Maynooth, Co. Kildare"," ""2002"""," ""356"""," ""37"""
"Milltown Institute, Ranelagh, Dublin"," ""2002"""," ""None"""," ""None"""
Aided university sector," ""2002"""," ""None"""," ""None"""
Aided technology sector," ""2002"""," ""None"""," ""None"""
Teacher education colleges," ""2002"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2002"""," ""None"""," ""None"""
All colleges," ""2003"""," ""129283"""," ""34680"""
Higher Education Authority," ""2003"""," ""74922"""," ""14036"""
"National University of Ireland, Cork"," ""2003"""," ""12492"""," ""1273"""
"National University of Ireland, Dublin"," ""2003"""," ""15888"""," ""4271"""
"National University of Ireland, Galway"," ""2003"""," ""11020"""," ""1686"""
"Trinity College, Dublin"," ""2003"""," ""11628"""," ""2798"""
"National University of Ireland, Maynooth"," ""2003"""," ""4707"""," ""574"""
Dublin City University," ""2003"""," ""6205"""," ""1445"""
University of Limerick," ""2003"""," ""8142"""," ""1576"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2003"""," ""2033"""," ""171"""
"Mary Immaculate College of Education, Limerick"," ""2003"""," ""1983"""," ""198"""
Institutes of Technology/Other Technology Colleges," ""2003"""," ""51507"""," ""17404"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2003"""," ""280"""," ""132"""
"National College of Art & Design, Dublin"," ""2003"""," ""824"""," ""44"""
Dublin Institute of Technology," ""2003"""," ""10240"""," ""5634"""
Athlone Institute of Technology," ""2003"""," ""3466"""," ""365"""
"Institute of Technology, Carlow"," ""2003"""," ""2476"""," ""534"""
Cork Institute of Technology," ""2003"""," ""6068"""," ""3187"""
Dundalk Institute of Technology," ""2003"""," ""2624"""," ""395"""
Galway - Mayo Institute of Technology," ""2003"""," ""4563"""," ""1090"""
Letterkenny Institute of Technology," ""2003"""," ""1927"""," ""274"""
Limerick Institute of Technology," ""2003"""," ""3602"""," ""904"""
"Institute of Technology, Sligo"," ""2003"""," ""3441"""," ""400"""
"Institute of Technology, Tallaght"," ""2003"""," ""2297"""," ""1371"""
"Institute of Technology, Tralee"," ""2003"""," ""2422"""," ""197"""
Waterford Institute of Technology," ""2003"""," ""5711"""," ""2430"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2003"""," ""1255"""," ""53"""
"Institute of Technology, Blanchardstown"," ""2003"""," ""856"""," ""297"""
Tipperary Institute," ""2003"""," ""354"""," ""224"""
"Tourism College, Killybegs, Co. Donegal"," ""2003"""," ""205"""," ""49"""
Other colleges," ""2003"""," ""2854"""," ""3240"""
"Colaiste Mhuire, Marino, Dublin"," ""2003"""," ""417"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2003"""," ""90"""," ""77"""
"Froebel College, Blackrock, Co. Dublin"," ""2003"""," ""253"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2003"""," ""299"""," ""75"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2003"""," ""99"""," ""None"""
National College of Ireland," ""2003"""," ""1072"""," ""2919"""
"Pontifical College, Maynooth, Co. Kildare"," ""2003"""," ""344"""," ""37"""
"Milltown Institute, Ranelagh, Dublin"," ""2003"""," ""None"""," ""None"""
Aided university sector," ""2003"""," ""None"""," ""None"""
Aided technology sector," ""2003"""," ""None"""," ""None"""
Teacher education colleges," ""2003"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2003"""," ""None"""," ""None"""
All colleges," ""2004"""," ""133887"""," ""34000"""
Higher Education Authority," ""2004"""," ""77491"""," ""13420"""
"National University of Ireland, Cork"," ""2004"""," ""12993"""," ""1314"""
"National University of Ireland, Dublin"," ""2004"""," ""16313"""," ""4295"""
"National University of Ireland, Galway"," ""2004"""," ""11368"""," ""1620"""
"Trinity College, Dublin"," ""2004"""," ""11722"""," ""2587"""
"National University of Ireland, Maynooth"," ""2004"""," ""4956"""," ""436"""
Dublin City University," ""2004"""," ""6591"""," ""1302"""
University of Limerick," ""2004"""," ""8494"""," ""1512"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2004"""," ""2012"""," ""185"""
"Mary Immaculate College of Education, Limerick"," ""2004"""," ""2187"""," ""143"""
Institutes of Technology/Other Technology Colleges," ""2004"""," ""53586"""," ""17351"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2004"""," ""302"""," ""143"""
"National College of Art & Design, Dublin"," ""2004"""," ""855"""," ""26"""
Dublin Institute of Technology," ""2004"""," ""10307"""," ""5793"""
Athlone Institute of Technology," ""2004"""," ""3517"""," ""388"""
"Institute of Technology, Carlow"," ""2004"""," ""2510"""," ""513"""
Cork Institute of Technology," ""2004"""," ""6108"""," ""3509"""
Dundalk Institute of Technology," ""2004"""," ""3111"""," ""719"""
Galway - Mayo Institute of Technology," ""2004"""," ""4983"""," ""1108"""
Letterkenny Institute of Technology," ""2004"""," ""2041"""," ""124"""
Limerick Institute of Technology," ""2004"""," ""3639"""," ""794"""
"Institute of Technology, Sligo"," ""2004"""," ""3340"""," ""454"""
"Institute of Technology, Tallaght"," ""2004"""," ""2507"""," ""738"""
"Institute of Technology, Tralee"," ""2004"""," ""2485"""," ""205"""
Waterford Institute of Technology," ""2004"""," ""6062"""," ""2460"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2004"""," ""1355"""," ""55"""
"Institute of Technology, Blanchardstown"," ""2004"""," ""1027"""," ""353"""
Tipperary Institute," ""2004"""," ""386"""," ""87"""
"Tourism College, Killybegs, Co. Donegal"," ""2004"""," ""208"""," ""51"""
Other colleges," ""2004"""," ""2810"""," ""3229"""
"Colaiste Mhuire, Marino, Dublin"," ""2004"""," ""434"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2004"""," ""93"""," ""75"""
"Froebel College, Blackrock, Co. Dublin"," ""2004"""," ""252"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2004"""," ""290"""," ""268"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2004"""," ""101"""," ""None"""
National College of Ireland," ""2004"""," ""1005"""," ""2721"""
"Pontifical College, Maynooth, Co. Kildare"," ""2004"""," ""333"""," ""22"""
"Milltown Institute, Ranelagh, Dublin"," ""2004"""," ""None"""," ""None"""
Aided university sector," ""2004"""," ""None"""," ""None"""
Aided technology sector," ""2004"""," ""None"""," ""None"""
Teacher education colleges," ""2004"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2004"""," ""None"""," ""None"""
All colleges," ""2005"""," ""133691"""," ""34509"""
Higher Education Authority," ""2005"""," ""78970"""," ""16166"""
"National University of Ireland, Cork"," ""2005"""," ""13611"""," ""1603"""
"National University of Ireland, Dublin"," ""2005"""," ""16314"""," ""6145"""
"National University of Ireland, Galway"," ""2005"""," ""11661"""," ""2885"""
"Trinity College, Dublin"," ""2005"""," ""12679"""," ""2242"""
"National University of Ireland, Maynooth"," ""2005"""," ""5109"""," ""694"""
Dublin City University," ""2005"""," ""6041"""," ""1089"""
University of Limerick," ""2005"""," ""10428"""," ""1052"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2005"""," ""1957"""," ""234"""
"Mary Immaculate College of Education, Limerick"," ""2005"""," ""None"""," ""None"""
Institutes of Technology/Other Technology Colleges," ""2005"""," ""52229"""," ""15200"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2005"""," ""327"""," ""187"""
"National College of Art & Design, Dublin"," ""2005"""," ""843"""," ""35"""
Dublin Institute of Technology," ""2005"""," ""10353"""," ""5328"""
Athlone Institute of Technology," ""2005"""," ""3269"""," ""276"""
"Institute of Technology, Carlow"," ""2005"""," ""2474"""," ""601"""
Cork Institute of Technology," ""2005"""," ""6205"""," ""3344"""
Dundalk Institute of Technology," ""2005"""," ""3072"""," ""735"""
Galway - Mayo Institute of Technology," ""2005"""," ""4338"""," ""1136"""
Letterkenny Institute of Technology," ""2005"""," ""1891"""," ""119"""
Limerick Institute of Technology," ""2005"""," ""3627"""," ""152"""
"Institute of Technology, Sligo"," ""2005"""," ""3472"""," ""465"""
"Institute of Technology, Tallaght"," ""2005"""," ""2364"""," ""693"""
"Institute of Technology, Tralee"," ""2005"""," ""2477"""," ""321"""
Waterford Institute of Technology," ""2005"""," ""5598"""," ""1511"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2005"""," ""1423"""," ""71"""
"Institute of Technology, Blanchardstown"," ""2005"""," ""1096"""," ""318"""
Tipperary Institute," ""2005"""," ""378"""," ""78"""
"Tourism College, Killybegs, Co. Donegal"," ""2005"""," ""192"""," ""52"""
Other colleges," ""2005"""," ""2492"""," ""3143"""
"Colaiste Mhuire, Marino, Dublin"," ""2005"""," ""371"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2005"""," ""91"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2005"""," ""214"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2005"""," ""337"""," ""243"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2005"""," ""77"""," ""None"""
National College of Ireland," ""2005"""," ""1070"""," ""2882"""
"Pontifical College, Maynooth, Co. Kildare"," ""2005"""," ""332"""," ""18"""
"Milltown Institute, Ranelagh, Dublin"," ""2005"""," ""None"""," ""None"""
Aided university sector," ""2005"""," ""None"""," ""None"""
Aided technology sector," ""2005"""," ""None"""," ""None"""
Teacher education colleges," ""2005"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2005"""," ""None"""," ""None"""
All colleges," ""2006"""," ""136719"""," ""31354"""
Higher Education Authority," ""2006"""," ""80801"""," ""15767"""
"National University of Ireland, Cork"," ""2006"""," ""13766"""," ""1393"""
"National University of Ireland, Dublin"," ""2006"""," ""16422"""," ""6005"""
"National University of Ireland, Galway"," ""2006"""," ""11739"""," ""2729"""
"Trinity College, Dublin"," ""2006"""," ""12939"""," ""2023"""
"National University of Ireland, Maynooth"," ""2006"""," ""5324"""," ""785"""
Dublin City University," ""2006"""," ""6390"""," ""1366"""
University of Limerick," ""2006"""," ""8457"""," ""1002"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2006"""," ""1990"""," ""184"""
"Mary Immaculate College of Education, Limerick"," ""2006"""," ""2571"""," ""89"""
Institutes of Technology/Other Technology Colleges," ""2006"""," ""53386"""," ""14667"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2006"""," ""354"""," ""177"""
"National College of Art & Design, Dublin"," ""2006"""," ""849"""," ""14"""
Dublin Institute of Technology," ""2006"""," ""10457"""," ""5264"""
Athlone Institute of Technology," ""2006"""," ""3512"""," ""333"""
"Institute of Technology, Carlow"," ""2006"""," ""2702"""," ""653"""
Cork Institute of Technology," ""2006"""," ""5823"""," ""2935"""
Dundalk Institute of Technology," ""2006"""," ""3214"""," ""615"""
Galway - Mayo Institute of Technology," ""2006"""," ""4672"""," ""907"""
Letterkenny Institute of Technology," ""2006"""," ""2069"""," ""264"""
Limerick Institute of Technology," ""2006"""," ""3855"""," ""370"""
"Institute of Technology, Sligo"," ""2006"""," ""3706"""," ""603"""
"Institute of Technology, Tallaght"," ""2006"""," ""2048"""," ""793"""
"Institute of Technology, Tralee"," ""2006"""," ""2318"""," ""231"""
Waterford Institute of Technology," ""2006"""," ""5931"""," ""1145"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2006"""," ""1471"""," ""72"""
"Institute of Technology, Blanchardstown"," ""2006"""," ""1064"""," ""359"""
Tipperary Institute," ""2006"""," ""379"""," ""37"""
"Tourism College, Killybegs, Co. Donegal"," ""2006"""," ""165"""," ""86"""
Other colleges," ""2006"""," ""2532"""," ""920"""
"Colaiste Mhuire, Marino, Dublin"," ""2006"""," ""373"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2006"""," ""92"""," ""57"""
"Froebel College, Blackrock, Co. Dublin"," ""2006"""," ""240"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2006"""," ""439"""," ""180"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2006"""," ""48"""," ""None"""
National College of Ireland," ""2006"""," ""993"""," ""664"""
"Pontifical College, Maynooth, Co. Kildare"," ""2006"""," ""347"""," ""19"""
"Milltown Institute, Ranelagh, Dublin"," ""2006"""," ""None"""," ""None"""
Aided university sector," ""2006"""," ""None"""," ""None"""
Aided technology sector," ""2006"""," ""None"""," ""None"""
Teacher education colleges," ""2006"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2006"""," ""None"""," ""None"""
All colleges," ""2007"""," ""138362"""," ""None"""
Higher Education Authority," ""2007"""," ""82488"""," ""15607"""
"National University of Ireland, Cork"," ""2007"""," ""14165"""," ""1379"""
"National University of Ireland, Dublin"," ""2007"""," ""16875"""," ""5317"""
"National University of Ireland, Galway"," ""2007"""," ""11753"""," ""2754"""
"Trinity College, Dublin"," ""2007"""," ""12912"""," ""1789"""
"National University of Ireland, Maynooth"," ""2007"""," ""5343"""," ""825"""
Dublin City University," ""2007"""," ""6884"""," ""1893"""
University of Limerick," ""2007"""," ""8592"""," ""1126"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2007"""," ""2029"""," ""269"""
"Mary Immaculate College of Education, Limerick"," ""2007"""," ""2693"""," ""106"""
Institutes of Technology/Other Technology Colleges," ""2007"""," ""53358"""," ""None"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2007"""," ""363"""," ""123"""
"National College of Art & Design, Dublin"," ""2007"""," ""879"""," ""26"""
Dublin Institute of Technology," ""2007"""," ""10552"""," ""None"""
Athlone Institute of Technology," ""2007"""," ""3232"""," ""None"""
"Institute of Technology, Carlow"," ""2007"""," ""2949"""," ""None"""
Cork Institute of Technology," ""2007"""," ""5710"""," ""None"""
Dundalk Institute of Technology," ""2007"""," ""3287"""," ""None"""
Galway - Mayo Institute of Technology," ""2007"""," ""4794"""," ""None"""
Letterkenny Institute of Technology," ""2007"""," ""2120"""," ""None"""
Limerick Institute of Technology," ""2007"""," ""3581"""," ""None"""
"Institute of Technology, Sligo"," ""2007"""," ""3604"""," ""None"""
"Institute of Technology, Tallaght"," ""2007"""," ""2116"""," ""None"""
"Institute of Technology, Tralee"," ""2007"""," ""2337"""," ""None"""
Waterford Institute of Technology," ""2007"""," ""6007"""," ""None"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2007"""," ""1528"""," ""None"""
"Institute of Technology, Blanchardstown"," ""2007"""," ""1070"""," ""None"""
Tipperary Institute," ""2007"""," ""338"""," ""None"""
"Tourism College, Killybegs, Co. Donegal"," ""2007"""," ""133"""," ""None"""
Other colleges," ""2007"""," ""2516"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2007"""," ""366"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2007"""," ""93"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2007"""," ""262"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2007"""," ""447"""," ""None"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2007"""," ""22"""," ""None"""
National College of Ireland," ""2007"""," ""977"""," ""None"""
"Pontifical College, Maynooth, Co. Kildare"," ""2007"""," ""349"""," ""None"""
"Milltown Institute, Ranelagh, Dublin"," ""2007"""," ""None"""," ""None"""
Aided university sector," ""2007"""," ""None"""," ""None"""
Aided technology sector," ""2007"""," ""None"""," ""None"""
Teacher education colleges," ""2007"""," ""None"""," ""None"""
Other third level education institutions aided by DES," ""2007"""," ""None"""," ""None"""
All colleges," ""2008"""," ""139134"""," ""33883"""
Higher Education Authority," ""2008"""," ""None"""," ""None"""
"National University of Ireland, Cork"," ""2008"""," ""14559"""," ""1319"""
"National University of Ireland, Dublin"," ""2008"""," ""17443"""," ""4303"""
"National University of Ireland, Galway"," ""2008"""," ""11850"""," ""2904"""
"Trinity College, Dublin"," ""2008"""," ""13037"""," ""1932"""
"National University of Ireland, Maynooth"," ""2008"""," ""5608"""," ""922"""
Dublin City University," ""2008"""," ""7280"""," ""1943"""
University of Limerick," ""2008"""," ""8800"""," ""1324"""
"St. Patrick's Teacher Training College, Drumcondra, Dublin"," ""2008"""," ""2135"""," ""400"""
"Mary Immaculate College of Education, Limerick"," ""2008"""," ""2814"""," ""140"""
Institutes of Technology/Other Technology Colleges," ""2008"""," ""None"""," ""None"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2008"""," ""323"""," ""128"""
"National College of Art & Design, Dublin"," ""2008"""," ""830"""," ""124"""
Dublin Institute of Technology," ""2008"""," ""9961"""," ""3594"""
Athlone Institute of Technology," ""2008"""," ""2837"""," ""1341"""
"Institute of Technology, Carlow"," ""2008"""," ""2845"""," ""1262"""
Cork Institute of Technology," ""2008"""," ""6254"""," ""2338"""
Dundalk Institute of Technology," ""2008"""," ""3445"""," ""596"""
Galway - Mayo Institute of Technology," ""2008"""," ""4847"""," ""1041"""
Letterkenny Institute of Technology," ""2008"""," ""1973"""," ""134"""
Limerick Institute of Technology," ""2008"""," ""3260"""," ""184"""
"Institute of Technology, Sligo"," ""2008"""," ""3354"""," ""1130"""
"Institute of Technology, Tallaght"," ""2008"""," ""1899"""," ""1422"""
"Institute of Technology, Tralee"," ""2008"""," ""1891"""," ""331"""
Waterford Institute of Technology," ""2008"""," ""6110"""," ""1353"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2008"""," ""1581"""," ""106"""
"Institute of Technology, Blanchardstown"," ""2008"""," ""1029"""," ""636"""
Tipperary Institute," ""2008"""," ""286"""," ""441"""
"Tourism College, Killybegs, Co. Donegal"," ""2008"""," ""None"""," ""None"""
Other colleges," ""2008"""," ""None"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2008"""," ""466"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2008"""," ""160"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2008"""," ""339"""," ""None"""
"St. Angela's College, Lough Gill, Co. Sligo"," ""2008"""," ""524"""," ""229"""
"St. Catherine's College, Sion Hill, Co. Dublin"," ""2008"""," ""None"""," ""None"""
National College of Ireland," ""2008"""," ""1065"""," ""2280"""
"Pontifical College, Maynooth, Co. Kildare"," ""2008"""," ""329"""," ""26"""
"Milltown Institute, Ranelagh, Dublin"," ""2008"""," ""None"""," ""None"""
Aided university sector," ""2008"""," ""78577"""," ""14647"""
Aided technology sector," ""2008"""," ""51572"""," ""15909"""
Teacher education colleges," ""2008"""," ""6761"""," ""897"""
Other third level education institutions aided by DES," ""2008"""," ""2224"""," ""2430"""
All colleges," ""2009"""," ""146068"""," ""33027"""
Higher Education Authority," ""2009"""," ""None"""," ""None"""
"National University of Ireland, Cork"," ""2009"""," ""15076"""," ""1326"""
"National University of Ireland, Dublin"," ""2009"""," ""18104"""," ""4340"""
"National University of Ireland, Galway"," ""2009"""," ""12549"""," ""2753"""
"Trinity College, Dublin"," ""2009"""," ""13506"""," ""1982"""
