TextTranslate,Year,Full-time Enrolments to Third Level Courses (Number),Part-time Enrolments to Third Level Courses (Number)
"C.O.I. College of Education, Rathmines, Dublin"," ""2006"""," ""92"""," ""57"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2007"""," ""93"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2008"""," ""160"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2009"""," ""97"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2010"""," ""149"""," ""52"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2011"""," ""176"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2012"""," ""None"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2013"""," ""119"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2014"""," ""119"""," ""None"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2015"""," ""124"""," ""70"""
"C.O.I. College of Education, Rathmines, Dublin"," ""2016"""," ""None"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2000"""," ""262"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2001"""," ""313"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2002"""," ""348"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2003"""," ""417"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2004"""," ""434"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2005"""," ""371"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2006"""," ""373"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2007"""," ""366"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2008"""," ""466"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2009"""," ""522"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2010"""," ""483"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2011"""," ""550"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2012"""," ""579"""," ""None"""
"Colaiste Mhuire, Marino, Dublin"," ""2013"""," ""576"""," ""8"""
"Colaiste Mhuire, Marino, Dublin"," ""2014"""," ""644"""," ""18"""
"Colaiste Mhuire, Marino, Dublin"," ""2015"""," ""722"""," ""25"""
"Colaiste Mhuire, Marino, Dublin"," ""2016"""," ""732"""," ""82"""
Cork Institute of Technology," ""2000"""," ""5395"""," ""3148"""
Cork Institute of Technology," ""2001"""," ""5615"""," ""3244"""
Cork Institute of Technology," ""2002"""," ""5929"""," ""3482"""
Cork Institute of Technology," ""2003"""," ""6068"""," ""3187"""
Cork Institute of Technology," ""2004"""," ""6108"""," ""3509"""
Cork Institute of Technology," ""2005"""," ""6205"""," ""3344"""
Cork Institute of Technology," ""2006"""," ""5823"""," ""2935"""
Cork Institute of Technology," ""2007"""," ""5710"""," ""None"""
Cork Institute of Technology," ""2008"""," ""6254"""," ""2338"""
Cork Institute of Technology," ""2009"""," ""6461"""," ""1896"""
Cork Institute of Technology," ""2010"""," ""7313"""," ""1836"""
Cork Institute of Technology," ""2011"""," ""7236"""," ""1953"""
Cork Institute of Technology," ""2012"""," ""7385"""," ""2106"""
Cork Institute of Technology," ""2013"""," ""7326"""," ""2264"""
Cork Institute of Technology," ""2014"""," ""7490"""," ""2510"""
Cork Institute of Technology," ""2015"""," ""7766"""," ""2557"""
Cork Institute of Technology," ""2016"""," ""8009"""," ""2510"""
Dublin City University," ""2000"""," ""6998"""," ""1174"""
Dublin City University," ""2001"""," ""7464"""," ""1222"""
Dublin City University," ""2002"""," ""8218"""," ""1459"""
Dublin City University," ""2003"""," ""6205"""," ""1445"""
Dublin City University," ""2004"""," ""6591"""," ""1302"""
Dublin City University," ""2005"""," ""6041"""," ""1089"""
Dublin City University," ""2006"""," ""6390"""," ""1366"""
Dublin City University," ""2007"""," ""6884"""," ""1893"""
Dublin City University," ""2008"""," ""7280"""," ""1943"""
Dublin City University," ""2009"""," ""7618"""," ""1965"""
Dublin City University," ""2010"""," ""8158"""," ""1837"""
Dublin City University," ""2011"""," ""8211"""," ""1988"""
Dublin City University," ""2012"""," ""8352"""," ""1959"""
Dublin City University," ""2013"""," ""8940"""," ""2727"""
Dublin City University," ""2014"""," ""9209"""," ""1669"""
Dublin City University," ""2015"""," ""9761"""," ""1262"""
Dublin City University," ""2016"""," ""11344"""," ""1328"""
Dublin Institute of Technology," ""2000"""," ""9642"""," ""5426"""
Dublin Institute of Technology," ""2001"""," ""9793"""," ""5747"""
Dublin Institute of Technology," ""2002"""," ""9873"""," ""5443"""
Dublin Institute of Technology," ""2003"""," ""10240"""," ""5634"""
Dublin Institute of Technology," ""2004"""," ""10307"""," ""5793"""
Dublin Institute of Technology," ""2005"""," ""10353"""," ""5328"""
Dublin Institute of Technology," ""2006"""," ""10457"""," ""5264"""
Dublin Institute of Technology," ""2007"""," ""10552"""," ""None"""
Dublin Institute of Technology," ""2008"""," ""9961"""," ""3594"""
Dublin Institute of Technology," ""2009"""," ""10409"""," ""3586"""
Dublin Institute of Technology," ""2010"""," ""11301"""," ""4020"""
Dublin Institute of Technology," ""2011"""," ""11733"""," ""3671"""
Dublin Institute of Technology," ""2012"""," ""12329"""," ""3834"""
Dublin Institute of Technology," ""2013"""," ""12728"""," ""3963"""
Dublin Institute of Technology," ""2014"""," ""13251"""," ""4658"""
Dublin Institute of Technology," ""2015"""," ""13828"""," ""4711"""
Dublin Institute of Technology," ""2016"""," ""14234"""," ""5089"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2000"""," ""696"""," ""46"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2001"""," ""915"""," ""52"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2002"""," ""1120"""," ""55"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2003"""," ""1255"""," ""53"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2004"""," ""1355"""," ""55"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2005"""," ""1423"""," ""71"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2006"""," ""1471"""," ""72"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2007"""," ""1528"""," ""None"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2008"""," ""1581"""," ""106"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2009"""," ""1724"""," ""160"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2010"""," ""1973"""," ""209"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2011"""," ""2057"""," ""148"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2012"""," ""2104"""," ""159"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2013"""," ""2143"""," ""118"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2014"""," ""2082"""," ""161"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2015"""," ""2034"""," ""183"""
"Dun Laoghaire Institute of Art, Design and Technology"," ""2016"""," ""2016"""," ""249"""
Dundalk Institute of Technology," ""2000"""," ""2583"""," ""403"""
Dundalk Institute of Technology," ""2001"""," ""2355"""," ""568"""
Dundalk Institute of Technology," ""2002"""," ""2585"""," ""499"""
Dundalk Institute of Technology," ""2003"""," ""2624"""," ""395"""
Dundalk Institute of Technology," ""2004"""," ""3111"""," ""719"""
Dundalk Institute of Technology," ""2005"""," ""3072"""," ""735"""
Dundalk Institute of Technology," ""2006"""," ""3214"""," ""615"""
Dundalk Institute of Technology," ""2007"""," ""3287"""," ""None"""
Dundalk Institute of Technology," ""2008"""," ""3445"""," ""596"""
Dundalk Institute of Technology," ""2009"""," ""3732"""," ""447"""
Dundalk Institute of Technology," ""2010"""," ""4148"""," ""380"""
Dundalk Institute of Technology," ""2011"""," ""4353"""," ""307"""
Dundalk Institute of Technology," ""2012"""," ""4210"""," ""295"""
Dundalk Institute of Technology," ""2013"""," ""4178"""," ""440"""
Dundalk Institute of Technology," ""2014"""," ""4146"""," ""421"""
Dundalk Institute of Technology," ""2015"""," ""4389"""," ""397"""
Dundalk Institute of Technology," ""2016"""," ""4387"""," ""612"""
"Froebel College, Blackrock, Co. Dublin"," ""2000"""," ""180"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2001"""," ""196"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2002"""," ""211"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2003"""," ""253"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2004"""," ""252"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2005"""," ""214"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2006"""," ""240"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2007"""," ""262"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2008"""," ""339"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2009"""," ""339"""," ""8"""
"Froebel College, Blackrock, Co. Dublin"," ""2010"""," ""311"""," ""23"""
"Froebel College, Blackrock, Co. Dublin"," ""2011"""," ""261"""," ""24"""
"Froebel College, Blackrock, Co. Dublin"," ""2012"""," ""126"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2013"""," ""None"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2014"""," ""None"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2015"""," ""None"""," ""None"""
"Froebel College, Blackrock, Co. Dublin"," ""2016"""," ""None"""," ""None"""
Galway - Mayo Institute of Technology," ""2000"""," ""4323"""," ""806"""
Galway - Mayo Institute of Technology," ""2001"""," ""4376"""," ""698"""
Galway - Mayo Institute of Technology," ""2002"""," ""4436"""," ""851"""
Galway - Mayo Institute of Technology," ""2003"""," ""4563"""," ""1090"""
Galway - Mayo Institute of Technology," ""2004"""," ""4983"""," ""1108"""
Galway - Mayo Institute of Technology," ""2005"""," ""4338"""," ""1136"""
Galway - Mayo Institute of Technology," ""2006"""," ""4672"""," ""907"""
Galway - Mayo Institute of Technology," ""2007"""," ""4794"""," ""None"""
Galway - Mayo Institute of Technology," ""2008"""," ""4847"""," ""1041"""
Galway - Mayo Institute of Technology," ""2009"""," ""4820"""," ""957"""
Galway - Mayo Institute of Technology," ""2010"""," ""5169"""," ""1195"""
Galway - Mayo Institute of Technology," ""2011"""," ""5517"""," ""973"""
Galway - Mayo Institute of Technology," ""2012"""," ""5468"""," ""915"""
Galway - Mayo Institute of Technology," ""2013"""," ""5024"""," ""1032"""
Galway - Mayo Institute of Technology," ""2014"""," ""5202"""," ""699"""
Galway - Mayo Institute of Technology," ""2015"""," ""5338"""," ""864"""
Galway - Mayo Institute of Technology," ""2016"""," ""5476"""," ""951"""
Higher Education Authority," ""2000"""," ""66914"""," ""11305"""
Higher Education Authority," ""2001"""," ""69254"""," ""11313"""
Higher Education Authority," ""2002"""," ""72168"""," ""13826"""
Higher Education Authority," ""2003"""," ""74922"""," ""14036"""
Higher Education Authority," ""2004"""," ""77491"""," ""13420"""
Higher Education Authority," ""2005"""," ""78970"""," ""16166"""
Higher Education Authority," ""2006"""," ""80801"""," ""15767"""
Higher Education Authority," ""2007"""," ""82488"""," ""15607"""
Higher Education Authority," ""2008"""," ""None"""," ""None"""
Higher Education Authority," ""2009"""," ""None"""," ""None"""
Higher Education Authority," ""2010"""," ""None"""," ""None"""
Higher Education Authority," ""2011"""," ""None"""," ""None"""
Higher Education Authority," ""2012"""," ""None"""," ""None"""
Higher Education Authority," ""2013"""," ""None"""," ""None"""
Higher Education Authority," ""2014"""," ""None"""," ""None"""
Higher Education Authority," ""2015"""," ""None"""," ""None"""
Higher Education Authority," ""2016"""," ""None"""," ""None"""
"Institute of Technology, Blanchardstown"," ""2000"""," ""223"""," ""81"""
"Institute of Technology, Blanchardstown"," ""2001"""," ""478"""," ""156"""
"Institute of Technology, Blanchardstown"," ""2002"""," ""626"""," ""324"""
"Institute of Technology, Blanchardstown"," ""2003"""," ""856"""," ""297"""
"Institute of Technology, Blanchardstown"," ""2004"""," ""1027"""," ""353"""
"Institute of Technology, Blanchardstown"," ""2005"""," ""1096"""," ""318"""
"Institute of Technology, Blanchardstown"," ""2006"""," ""1064"""," ""359"""
"Institute of Technology, Blanchardstown"," ""2007"""," ""1070"""," ""None"""
"Institute of Technology, Blanchardstown"," ""2008"""," ""1029"""," ""636"""
"Institute of Technology, Blanchardstown"," ""2009"""," ""1239"""," ""452"""
"Institute of Technology, Blanchardstown"," ""2010"""," ""1560"""," ""542"""
"Institute of Technology, Blanchardstown"," ""2011"""," ""1921"""," ""524"""
"Institute of Technology, Blanchardstown"," ""2012"""," ""2184"""," ""671"""
"Institute of Technology, Blanchardstown"," ""2013"""," ""2439"""," ""685"""
"Institute of Technology, Blanchardstown"," ""2014"""," ""2626"""," ""630"""
"Institute of Technology, Blanchardstown"," ""2015"""," ""2583"""," ""652"""
"Institute of Technology, Blanchardstown"," ""2016"""," ""2536"""," ""700"""
"Institute of Technology, Carlow"," ""2000"""," ""2360"""," ""429"""
"Institute of Technology, Carlow"," ""2001"""," ""2571"""," ""579"""
"Institute of Technology, Carlow"," ""2002"""," ""2539"""," ""1015"""
"Institute of Technology, Carlow"," ""2003"""," ""2476"""," ""534"""
"Institute of Technology, Carlow"," ""2004"""," ""2510"""," ""513"""
"Institute of Technology, Carlow"," ""2005"""," ""2474"""," ""601"""
"Institute of Technology, Carlow"," ""2006"""," ""2702"""," ""653"""
"Institute of Technology, Carlow"," ""2007"""," ""2949"""," ""None"""
"Institute of Technology, Carlow"," ""2008"""," ""2845"""," ""1262"""
"Institute of Technology, Carlow"," ""2009"""," ""2997"""," ""1327"""
"Institute of Technology, Carlow"," ""2010"""," ""3120"""," ""1162"""
"Institute of Technology, Carlow"," ""2011"""," ""3366"""," ""1503"""
"Institute of Technology, Carlow"," ""2012"""," ""3525"""," ""1516"""
"Institute of Technology, Carlow"," ""2013"""," ""3688"""," ""1681"""
"Institute of Technology, Carlow"," ""2014"""," ""3826"""," ""2361"""
"Institute of Technology, Carlow"," ""2015"""," ""4136"""," ""2085"""
"Institute of Technology, Carlow"," ""2016"""," ""4256"""," ""2564"""
"Institute of Technology, Sligo"," ""2000"""," ""2959"""," ""212"""
"Institute of Technology, Sligo"," ""2001"""," ""3017"""," ""513"""
"Institute of Technology, Sligo"," ""2002"""," ""3310"""," ""441"""
"Institute of Technology, Sligo"," ""2003"""," ""3441"""," ""400"""
"Institute of Technology, Sligo"," ""2004"""," ""3340"""," ""454"""
"Institute of Technology, Sligo"," ""2005"""," ""3472"""," ""465"""
"Institute of Technology, Sligo"," ""2006"""," ""3706"""," ""603"""
"Institute of Technology, Sligo"," ""2007"""," ""3604"""," ""None"""
"Institute of Technology, Sligo"," ""2008"""," ""3354"""," ""1130"""
"Institute of Technology, Sligo"," ""2009"""," ""3438"""," ""335"""
"Institute of Technology, Sligo"," ""2010"""," ""3754"""," ""304"""
"Institute of Technology, Sligo"," ""2011"""," ""3855"""," ""487"""
"Institute of Technology, Sligo"," ""2012"""," ""3783"""," ""572"""
"Institute of Technology, Sligo"," ""2013"""," ""3804"""," ""327"""
"Institute of Technology, Sligo"," ""2014"""," ""3823"""," ""138"""
"Institute of Technology, Sligo"," ""2015"""," ""3822"""," ""151"""
"Institute of Technology, Sligo"," ""2016"""," ""3742"""," ""78"""
"Institute of Technology, Tallaght"," ""2000"""," ""2156"""," ""1565"""
"Institute of Technology, Tallaght"," ""2001"""," ""2465"""," ""1598"""
"Institute of Technology, Tallaght"," ""2002"""," ""2364"""," ""1563"""
"Institute of Technology, Tallaght"," ""2003"""," ""2297"""," ""1371"""
"Institute of Technology, Tallaght"," ""2004"""," ""2507"""," ""738"""
"Institute of Technology, Tallaght"," ""2005"""," ""2364"""," ""693"""
"Institute of Technology, Tallaght"," ""2006"""," ""2048"""," ""793"""
"Institute of Technology, Tallaght"," ""2007"""," ""2116"""," ""None"""
"Institute of Technology, Tallaght"," ""2008"""," ""1899"""," ""1422"""
"Institute of Technology, Tallaght"," ""2009"""," ""2053"""," ""1492"""
"Institute of Technology, Tallaght"," ""2010"""," ""2420"""," ""1485"""
"Institute of Technology, Tallaght"," ""2011"""," ""2809"""," ""1329"""
"Institute of Technology, Tallaght"," ""2012"""," ""2919"""," ""1119"""
"Institute of Technology, Tallaght"," ""2013"""," ""2977"""," ""1370"""
"Institute of Technology, Tallaght"," ""2014"""," ""2980"""," ""1741"""
"Institute of Technology, Tallaght"," ""2015"""," ""2884"""," ""2201"""
"Institute of Technology, Tallaght"," ""2016"""," ""2898"""," ""2122"""
"Institute of Technology, Tralee"," ""2000"""," ""2229"""," ""604"""
"Institute of Technology, Tralee"," ""2001"""," ""2346"""," ""257"""
"Institute of Technology, Tralee"," ""2002"""," ""2396"""," ""515"""
"Institute of Technology, Tralee"," ""2003"""," ""2422"""," ""197"""
"Institute of Technology, Tralee"," ""2004"""," ""2485"""," ""205"""
"Institute of Technology, Tralee"," ""2005"""," ""2477"""," ""321"""
"Institute of Technology, Tralee"," ""2006"""," ""2318"""," ""231"""
"Institute of Technology, Tralee"," ""2007"""," ""2337"""," ""None"""
"Institute of Technology, Tralee"," ""2008"""," ""1891"""," ""331"""
"Institute of Technology, Tralee"," ""2009"""," ""2000"""," ""405"""
"Institute of Technology, Tralee"," ""2010"""," ""2262"""," ""310"""
"Institute of Technology, Tralee"," ""2011"""," ""2399"""," ""312"""
"Institute of Technology, Tralee"," ""2012"""," ""2534"""," ""345"""
"Institute of Technology, Tralee"," ""2013"""," ""2577"""," ""316"""
"Institute of Technology, Tralee"," ""2014"""," ""2537"""," ""278"""
"Institute of Technology, Tralee"," ""2015"""," ""2830"""," ""172"""
"Institute of Technology, Tralee"," ""2016"""," ""2652"""," ""238"""
Institutes of Technology/Other Technology Colleges," ""2000"""," ""46424"""," ""16504"""
Institutes of Technology/Other Technology Colleges," ""2001"""," ""48360"""," ""17700"""
Institutes of Technology/Other Technology Colleges," ""2002"""," ""49890"""," ""18042"""
Institutes of Technology/Other Technology Colleges," ""2003"""," ""51507"""," ""17404"""
Institutes of Technology/Other Technology Colleges," ""2004"""," ""53586"""," ""17351"""
Institutes of Technology/Other Technology Colleges," ""2005"""," ""52229"""," ""15200"""
Institutes of Technology/Other Technology Colleges," ""2006"""," ""53386"""," ""14667"""
Institutes of Technology/Other Technology Colleges," ""2007"""," ""53358"""," ""None"""
Institutes of Technology/Other Technology Colleges," ""2008"""," ""None"""," ""None"""
Institutes of Technology/Other Technology Colleges," ""2009"""," ""None"""," ""None"""
Institutes of Technology/Other Technology Colleges," ""2010"""," ""None"""," ""None"""
Institutes of Technology/Other Technology Colleges," ""2011"""," ""None"""," ""None"""
Institutes of Technology/Other Technology Colleges," ""2012"""," ""None"""," ""None"""
Institutes of Technology/Other Technology Colleges," ""2013"""," ""None"""," ""None"""
Institutes of Technology/Other Technology Colleges," ""2014"""," ""None"""," ""None"""
Institutes of Technology/Other Technology Colleges," ""2015"""," ""None"""," ""None"""
Institutes of Technology/Other Technology Colleges," ""2016"""," ""None"""," ""None"""
Letterkenny Institute of Technology," ""2000"""," ""1851"""," ""285"""
Letterkenny Institute of Technology," ""2001"""," ""1951"""," ""251"""
Letterkenny Institute of Technology," ""2002"""," ""1919"""," ""308"""
Letterkenny Institute of Technology," ""2003"""," ""1927"""," ""274"""
Letterkenny Institute of Technology," ""2004"""," ""2041"""," ""124"""
Letterkenny Institute of Technology," ""2005"""," ""1891"""," ""119"""
Letterkenny Institute of Technology," ""2006"""," ""2069"""," ""264"""
Letterkenny Institute of Technology," ""2007"""," ""2120"""," ""None"""
Letterkenny Institute of Technology," ""2008"""," ""1973"""," ""134"""
Letterkenny Institute of Technology," ""2009"""," ""2286"""," ""400"""
Letterkenny Institute of Technology," ""2010"""," ""2549"""," ""437"""
Letterkenny Institute of Technology," ""2011"""," ""2568"""," ""401"""
Letterkenny Institute of Technology," ""2012"""," ""2478"""," ""309"""
Letterkenny Institute of Technology," ""2013"""," ""2634"""," ""512"""
Letterkenny Institute of Technology," ""2014"""," ""2664"""," ""564"""
Letterkenny Institute of Technology," ""2015"""," ""2904"""," ""683"""
Letterkenny Institute of Technology," ""2016"""," ""2961"""," ""859"""
Limerick Institute of Technology," ""2000"""," ""3231"""," ""1495"""
Limerick Institute of Technology," ""2001"""," ""3436"""," ""1755"""
Limerick Institute of Technology," ""2002"""," ""3464"""," ""1136"""
Limerick Institute of Technology," ""2003"""," ""3602"""," ""904"""
Limerick Institute of Technology," ""2004"""," ""3639"""," ""794"""
Limerick Institute of Technology," ""2005"""," ""3627"""," ""152"""
Limerick Institute of Technology," ""2006"""," ""3855"""," ""370"""
Limerick Institute of Technology," ""2007"""," ""3581"""," ""None"""
Limerick Institute of Technology," ""2008"""," ""3260"""," ""184"""
Limerick Institute of Technology," ""2009"""," ""3673"""," ""318"""
Limerick Institute of Technology," ""2010"""," ""4042"""," ""767"""
Limerick Institute of Technology," ""2011"""," ""4125"""," ""859"""
Limerick Institute of Technology," ""2012"""," ""4724"""," ""871"""
Limerick Institute of Technology," ""2013"""," ""4936"""," ""735"""
Limerick Institute of Technology," ""2014"""," ""4969"""," ""921"""
Limerick Institute of Technology," ""2015"""," ""5024"""," ""1051"""
Limerick Institute of Technology," ""2016"""," ""5192"""," ""907"""
"Mary Immaculate College of Education, Limerick"," ""2000"""," ""None"""," ""None"""
"Mary Immaculate College of Education, Limerick"," ""2001"""," ""None"""," ""None"""
"Mary Immaculate College of Education, Limerick"," ""2002"""," ""None"""," ""None"""
"Mary Immaculate College of Education, Limerick"," ""2003"""," ""1983"""," ""198"""
"Mary Immaculate College of Education, Limerick"," ""2004"""," ""2187"""," ""143"""
"Mary Immaculate College of Education, Limerick"," ""2005"""," ""None"""," ""None"""
"Mary Immaculate College of Education, Limerick"," ""2006"""," ""2571"""," ""89"""
"Mary Immaculate College of Education, Limerick"," ""2007"""," ""2693"""," ""106"""
"Mary Immaculate College of Education, Limerick"," ""2008"""," ""2814"""," ""140"""
"Mary Immaculate College of Education, Limerick"," ""2009"""," ""2909"""," ""113"""
"Mary Immaculate College of Education, Limerick"," ""2010"""," ""2864"""," ""150"""
"Mary Immaculate College of Education, Limerick"," ""2011"""," ""2845"""," ""135"""
"Mary Immaculate College of Education, Limerick"," ""2012"""," ""2850"""," ""110"""
"Mary Immaculate College of Education, Limerick"," ""2013"""," ""2888"""," ""117"""
"Mary Immaculate College of Education, Limerick"," ""2014"""," ""2873"""," ""153"""
"Mary Immaculate College of Education, Limerick"," ""2015"""," ""3033"""," ""146"""
"Mary Immaculate College of Education, Limerick"," ""2016"""," ""3518"""," ""169"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2000"""," ""259"""," ""23"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2001"""," ""268"""," ""56"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2002"""," ""252"""," ""131"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2003"""," ""280"""," ""132"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2004"""," ""302"""," ""143"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2005"""," ""327"""," ""187"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2006"""," ""354"""," ""177"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2007"""," ""363"""," ""123"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2008"""," ""323"""," ""128"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2009"""," ""366"""," ""302"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2010"""," ""413"""," ""304"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2011"""," ""442"""," ""284"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2012"""," ""463"""," ""192"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2013"""," ""430"""," ""203"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2014"""," ""404"""," ""177"""
"Mater Dei Institute, Clonliffe Road, Dublin"," ""2015"""," ""410"""," ""147"""
